subject_code,rubric_name,criterion_text
CSE1OOF,CSE1OOF Assessment Rubric,"CSE1OOF - Test (15%, Individual): SILO1: analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour; SILO2: abstract data types and encapsulation to localise and minimise change"
CSE1OOF,CSE1OOF Assessment Rubric,"CSE1OOF - Practical demonstration (20%, Individual): SILO2: abstract data types and encapsulation to localise and minimise change; SILO3: code sharing and reuse through object-oriented techniques to reduce development time; SILO4: object-oriented design and implementation of computer programs for real-life problems"
CSE1OOF,CSE1OOF Assessment Rubric,"CSE1OOF - Assignment (25%, Individual): SILO2: abstract data types and encapsulation to localise and minimise change; SILO3: code sharing and reuse through object-oriented techniques to reduce development time; SILO4: object-oriented design and implementation of computer programs for real-life problems"
CSE1OOF,CSE1OOF Assessment Rubric,"CSE1OOF - Central examination (40%, Individual): SILO2: abstract data types and encapsulation to localise and minimise change; SILO4: object-oriented design and implementation of computer programs for real-life problems; SILO3: code sharing and reuse through object-oriented techniques to reduce development time; SILO1: analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour"
CSE2ALG,CSE2ALG Assessment Rubric,"CSE2ALG - Test (20%, Individual): SILO1: overall objectives of Algorithms and Data Structures; SILO2: identifying data structures and searching and sorting algorithms in computing contexts; SILO3: implementing data structures and searching and sorting algorithms in Java"
CSE2ALG,CSE2ALG Assessment Rubric,"CSE2ALG - Assignment (30%, Individual): SILO2: identifying data structures and searching and sorting algorithms in computing contexts; SILO3: implementing data structures and searching and sorting algorithms in Java; SILO4: comparing algorithms and data structures and applying suitable choices to problems; SILO5: designing, implementing, and evaluating Java solutions using appropriate performance measures"
CSE2ALG,CSE2ALG Assessment Rubric,"CSE2ALG - Central examination (50%, Individual): SILO1: overall objectives of Algorithms and Data Structures; SILO2: identifying data structures and searching and sorting algorithms in computing contexts; SILO3: implementing data structures and searching and sorting algorithms in Java; SILO5: designing, implementing, and evaluating Java solutions using appropriate performance measures"
CSE3CAP,CSE3CAP Assessment Rubric,"CSE3CAP - Oral presentation: Project Milestone Presentation (10%, Group): SILO3: reporting project outcomes to technical and non-technical audiences and reflecting on feedback"
CSE3CAP,CSE3CAP Assessment Rubric,"CSE3CAP - Oral presentation: Final Project Presentation (20%, Group): SILO3: reporting project outcomes to technical and non-technical audiences and reflecting on feedback"
CSE3CAP,CSE3CAP Assessment Rubric,"CSE3CAP - Assignment: Final written Project Report (35%, Combined): SILO2: industry standard technical solutions in software or cybersecurity practice; SILO4: professional system documentation and advanced technical reporting to industry standards"
CSE3CAP,CSE3CAP Assessment Rubric,"CSE3CAP - Assignment: Sprint Project management reports (35%, Individual): SILO1: advanced project management during substantive development implementation; SILO2: industry standard technical solutions in software or cybersecurity practice"
