subject_code,assessment_name,student_number,score,feedback_text
DEMO101,Assignment 1,DEMO0001,95,Excellent grasp of core concepts. Both sides of the trade-off were compared thoughtfully.
DEMO101,Assignment 1,DEMO0002,81,The definition of the concept was unclear and missing key detail. The technique was applied correctly and efficiently.
DEMO101,Assignment 1,DEMO0003,63,Failed to apply the correct technique variant to the sample problem. Technique variant was chosen correctly and justified.
DEMO101,Assignment 1,DEMO0004,48,The critical evaluation was vague about what was given up for the gain. The explanation of core concepts was vague and lacked correct terminology.
DEMO101,Assignment 1,DEMO0005,53,"Did not explain the concept's scope, only its name. The applied technique had a minor error in step 2. No trade-offs were discussed in the evaluation."
DEMO101,Assignment 1,DEMO0006,52,Failed to apply the correct technique variant to the sample problem. The evaluation did not address the weaknesses of the proposed approach.
DEMO101,Assignment 1,DEMO0007,93,Strong use of correct terminology throughout. Excellent grasp of core concepts.
DEMO101,Assignment 1,DEMO0008,78,Terminology used was incorrect in several places. Technique variant was chosen correctly and justified.
DEMO101,Assignment 1,DEMO0009,70,Did not show the variant-selection reasoning for the applied technique. Well-structured and clearly written report.
DEMO101,Assignment 1,DEMO0010,52,Failed to compare both sides of the decision. The core concepts section failed to use the agreed terminology.
DEMO101,Assignment 1,DEMO0011,43,The explanation of core concepts was vague and lacked correct terminology. Failed to apply the correct technique variant to the sample problem. Failed to compare both sides of the decision.
DEMO101,Assignment 1,DEMO0012,60,The technique application was missing a key step. The evaluation did not address the weaknesses of the proposed approach.
DEMO101,Assignment 1,DEMO0013,88,Both sides of the trade-off were compared thoughtfully. Thoughtful discussion of trade-offs.
DEMO101,Assignment 1,DEMO0014,71,The explanation of core concepts was vague and lacked correct terminology. Well-structured and clearly written report.
DEMO101,Assignment 1,DEMO0015,61,The technique application was missing a key step. Both sides of the trade-off were compared thoughtfully.
DEMO101,Assignment 1,DEMO0016,56,The critical evaluation was vague about what was given up for the gain. The definition of the concept was unclear and missing key detail.
DEMO101,Assignment 1,DEMO0017,36,"Did not explain the concept's scope, only its name. Did not show the variant-selection reasoning for the applied technique. No trade-offs were discussed in the evaluation."
DEMO101,Assignment 1,DEMO0018,62,The applied technique had a minor error in step 2. The critical evaluation was vague about what was given up for the gain.
DEMO101,Assignment 2,DEMO0001,54,The critical evaluation was vague about what was given up for the gain. The definition of the concept was unclear and missing key detail.
DEMO101,Assignment 2,DEMO0002,53,Terminology used was incorrect in several places. The applied technique had a minor error in step 2. No trade-offs were discussed in the evaluation.
DEMO101,Assignment 2,DEMO0003,57,The technique application was missing a key step. No trade-offs were discussed in the evaluation.
DEMO101,Assignment 2,DEMO0004,88,Both sides of the trade-off were compared thoughtfully. Excellent grasp of core concepts.
DEMO101,Assignment 2,DEMO0005,76,The definition of the concept was unclear and missing key detail. Well-structured and clearly written report.
DEMO101,Assignment 2,DEMO0006,70,The technique application was missing a key step. The technique was applied correctly and efficiently.
DEMO101,Assignment 2,DEMO0007,56,Trade-off analysis was insufficient and one-sided. Terminology used was incorrect in several places.
DEMO101,Assignment 2,DEMO0008,43,The explanation of core concepts was vague and lacked correct terminology. Did not show the variant-selection reasoning for the applied technique. The evaluation did not address the weaknesses of the proposed approach.
DEMO101,Assignment 2,DEMO0009,67,Failed to apply the correct technique variant to the sample problem. The evaluation did not address the weaknesses of the proposed approach.
DEMO101,Assignment 2,DEMO0010,92,Well-structured and clearly written report. Thoughtful discussion of trade-offs.
DEMO101,Assignment 2,DEMO0011,84,The core concepts section failed to use the agreed terminology. The technique was applied correctly and efficiently.
DEMO101,Assignment 2,DEMO0012,70,The technique application was missing a key step. Both sides of the trade-off were compared thoughtfully.
DEMO101,Assignment 2,DEMO0013,46,The evaluation did not address the weaknesses of the proposed approach. The explanation of core concepts was vague and lacked correct terminology.
DEMO101,Assignment 2,DEMO0014,45,"Did not explain the concept's scope, only its name. The technique application was missing a key step. No trade-offs were discussed in the evaluation."
DEMO101,Assignment 2,DEMO0015,56,Did not show the variant-selection reasoning for the applied technique. Trade-off analysis was insufficient and one-sided.
DEMO101,Assignment 2,DEMO0016,88,Technique variant was chosen correctly and justified. Well-structured and clearly written report.
DEMO101,Assignment 2,DEMO0017,76,"Did not explain the concept's scope, only its name. The technique was applied correctly and efficiently."
