subject_code,assessment_name,student_number,score,feedback_text,silo_tags_text,weight,weighted_score
CSE1OOF,CSE1OOF - Test,STU0001,54,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour and abstract data types and encapsulation to localise and minimise change. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO1: analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour; SILO2: abstract data types and encapsulation to localise and minimise change,0.15,8.1
CSE1OOF,CSE1OOF - Practical demonstration,STU0001,49,"This limited result shows gaps that require targeted revision of the relevant learning themes, particularly abstract data types and encapsulation to localise and minimise change, code sharing and reuse through object-oriented techniques to reduce development time, and object-oriented design and implementation of computer programs for real-life problems. The student should revisit the core concepts, seek feedback early and practise applying the techniques in smaller, well-tested examples before attempting the full assessment task.",SILO2: abstract data types and encapsulation to localise and minimise change; SILO3: code sharing and reuse through object-oriented techniques to reduce development time; SILO4: object-oriented design and implementation of computer programs for real-life problems,0.2,9.8
CSE1OOF,CSE1OOF - Assignment,STU0001,51,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly abstract data types and encapsulation to localise and minimise change, code sharing and reuse through object-oriented techniques to reduce development time, and object-oriented design and implementation of computer programs for real-life problems. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO2: abstract data types and encapsulation to localise and minimise change; SILO3: code sharing and reuse through object-oriented techniques to reduce development time; SILO4: object-oriented design and implementation of computer programs for real-life problems,0.25,12.75
CSE1OOF,CSE1OOF - Central examination,STU0001,50,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly abstract data types and encapsulation to localise and minimise change, object-oriented design and implementation of computer programs for real-life problems, code sharing and reuse through object-oriented techniques to reduce development time, and analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO2: abstract data types and encapsulation to localise and minimise change; SILO4: object-oriented design and implementation of computer programs for real-life problems; SILO3: code sharing and reuse through object-oriented techniques to reduce development time; SILO1: analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour,0.4,20.0
CSE2ALG,CSE2ALG - Test,STU0001,53,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly overall objectives of Algorithms and Data Structures, identifying data structures and searching and sorting algorithms in computing contexts, and implementing data structures and searching and sorting algorithms in Java. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO1: overall objectives of Algorithms and Data Structures; SILO2: identifying data structures and searching and sorting algorithms in computing contexts; SILO3: implementing data structures and searching and sorting algorithms in Java,0.2,10.600000000000001
CSE2ALG,CSE2ALG - Assignment,STU0001,54,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly identifying data structures and searching and sorting algorithms in computing contexts, implementing data structures and searching and sorting algorithms in Java, comparing algorithms and data structures and applying suitable choices to problems, and designing, implementing, and evaluating Java solutions using appropriate performance measures. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.","SILO2: identifying data structures and searching and sorting algorithms in computing contexts; SILO3: implementing data structures and searching and sorting algorithms in Java; SILO4: comparing algorithms and data structures and applying suitable choices to problems; SILO5: designing, implementing, and evaluating Java solutions using appropriate performance measures",0.3,16.2
CSE2ALG,CSE2ALG - Central examination,STU0001,48,"This limited result shows gaps that require targeted revision of the relevant learning themes, particularly overall objectives of Algorithms and Data Structures, identifying data structures and searching and sorting algorithms in computing contexts, implementing data structures and searching and sorting algorithms in Java, and designing, implementing, and evaluating Java solutions using appropriate performance measures. The student should revisit the core concepts, seek feedback early and practise applying the techniques in smaller, well-tested examples before attempting the full assessment task.","SILO1: overall objectives of Algorithms and Data Structures; SILO2: identifying data structures and searching and sorting algorithms in computing contexts; SILO3: implementing data structures and searching and sorting algorithms in Java; SILO5: designing, implementing, and evaluating Java solutions using appropriate performance measures",0.5,24.0
CSE3CAP,CSE3CAP - Oral presentation: Project Milestone Presentation,STU0001,50,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly reporting project outcomes to technical and non-technical audiences and reflecting on feedback. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO3: reporting project outcomes to technical and non-technical audiences and reflecting on feedback,0.1,5.0
CSE3CAP,CSE3CAP - Oral presentation: Final Project Presentation,STU0001,49,"This limited result shows gaps that require targeted revision of the relevant learning themes, particularly reporting project outcomes to technical and non-technical audiences and reflecting on feedback. The student should revisit the core concepts, seek feedback early and practise applying the techniques in smaller, well-tested examples before attempting the full assessment task.",SILO3: reporting project outcomes to technical and non-technical audiences and reflecting on feedback,0.2,9.8
CSE3CAP,CSE3CAP - Assignment: Final written Project Report,STU0001,50,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly industry standard technical solutions in software or cybersecurity practice and professional system documentation and advanced technical reporting to industry standards. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO2: industry standard technical solutions in software or cybersecurity practice; SILO4: professional system documentation and advanced technical reporting to industry standards,0.35,17.5
CSE3CAP,CSE3CAP - Assignment: Sprint Project management reports,STU0001,46,"This limited result shows gaps that require targeted revision of the relevant learning themes, particularly advanced project management during substantive development implementation and industry standard technical solutions in software or cybersecurity practice. The student should revisit the core concepts, seek feedback early and practise applying the techniques in smaller, well-tested examples before attempting the full assessment task.",SILO1: advanced project management during substantive development implementation; SILO2: industry standard technical solutions in software or cybersecurity practice,0.35,16.099999999999998
CSE1OOF,CSE1OOF - Test,STU0002,69,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour and abstract data types and encapsulation to localise and minimise change. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.",SILO1: analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour; SILO2: abstract data types and encapsulation to localise and minimise change,0.15,10.35
CSE1OOF,CSE1OOF - Practical demonstration,STU0002,71,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly abstract data types and encapsulation to localise and minimise change, code sharing and reuse through object-oriented techniques to reduce development time, and object-oriented design and implementation of computer programs for real-life problems. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.",SILO2: abstract data types and encapsulation to localise and minimise change; SILO3: code sharing and reuse through object-oriented techniques to reduce development time; SILO4: object-oriented design and implementation of computer programs for real-life problems,0.2,14.200000000000001
CSE1OOF,CSE1OOF - Assignment,STU0002,73,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly abstract data types and encapsulation to localise and minimise change, code sharing and reuse through object-oriented techniques to reduce development time, and object-oriented design and implementation of computer programs for real-life problems. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.",SILO2: abstract data types and encapsulation to localise and minimise change; SILO3: code sharing and reuse through object-oriented techniques to reduce development time; SILO4: object-oriented design and implementation of computer programs for real-life problems,0.25,18.25
CSE1OOF,CSE1OOF - Central examination,STU0002,71,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly abstract data types and encapsulation to localise and minimise change, object-oriented design and implementation of computer programs for real-life problems, code sharing and reuse through object-oriented techniques to reduce development time, and analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.",SILO2: abstract data types and encapsulation to localise and minimise change; SILO4: object-oriented design and implementation of computer programs for real-life problems; SILO3: code sharing and reuse through object-oriented techniques to reduce development time; SILO1: analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour,0.4,28.400000000000002
CSE2ALG,CSE2ALG - Test,STU0002,72,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly overall objectives of Algorithms and Data Structures, identifying data structures and searching and sorting algorithms in computing contexts, and implementing data structures and searching and sorting algorithms in Java. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.",SILO1: overall objectives of Algorithms and Data Structures; SILO2: identifying data structures and searching and sorting algorithms in computing contexts; SILO3: implementing data structures and searching and sorting algorithms in Java,0.2,14.4
CSE2ALG,CSE2ALG - Assignment,STU0002,72,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly identifying data structures and searching and sorting algorithms in computing contexts, implementing data structures and searching and sorting algorithms in Java, comparing algorithms and data structures and applying suitable choices to problems, and designing, implementing, and evaluating Java solutions using appropriate performance measures. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.","SILO2: identifying data structures and searching and sorting algorithms in computing contexts; SILO3: implementing data structures and searching and sorting algorithms in Java; SILO4: comparing algorithms and data structures and applying suitable choices to problems; SILO5: designing, implementing, and evaluating Java solutions using appropriate performance measures",0.3,21.599999999999998
CSE2ALG,CSE2ALG - Central examination,STU0002,70,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly overall objectives of Algorithms and Data Structures, identifying data structures and searching and sorting algorithms in computing contexts, implementing data structures and searching and sorting algorithms in Java, and designing, implementing, and evaluating Java solutions using appropriate performance measures. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.","SILO1: overall objectives of Algorithms and Data Structures; SILO2: identifying data structures and searching and sorting algorithms in computing contexts; SILO3: implementing data structures and searching and sorting algorithms in Java; SILO5: designing, implementing, and evaluating Java solutions using appropriate performance measures",0.5,35.0
CSE3CAP,CSE3CAP - Oral presentation: Project Milestone Presentation,STU0002,69,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly reporting project outcomes to technical and non-technical audiences and reflecting on feedback. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.",SILO3: reporting project outcomes to technical and non-technical audiences and reflecting on feedback,0.1,6.9
CSE3CAP,CSE3CAP - Oral presentation: Final Project Presentation,STU0002,63,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly reporting project outcomes to technical and non-technical audiences and reflecting on feedback. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO3: reporting project outcomes to technical and non-technical audiences and reflecting on feedback,0.2,12.600000000000001
CSE3CAP,CSE3CAP - Assignment: Final written Project Report,STU0002,69,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly industry standard technical solutions in software or cybersecurity practice and professional system documentation and advanced technical reporting to industry standards. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.",SILO2: industry standard technical solutions in software or cybersecurity practice; SILO4: professional system documentation and advanced technical reporting to industry standards,0.35,24.15
CSE3CAP,CSE3CAP - Assignment: Sprint Project management reports,STU0002,63,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly advanced project management during substantive development implementation and industry standard technical solutions in software or cybersecurity practice. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO1: advanced project management during substantive development implementation; SILO2: industry standard technical solutions in software or cybersecurity practice,0.35,22.049999999999997
CSE1OOF,CSE1OOF - Test,STU0003,60,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour and abstract data types and encapsulation to localise and minimise change. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO1: analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour; SILO2: abstract data types and encapsulation to localise and minimise change,0.15,9.0
CSE1OOF,CSE1OOF - Practical demonstration,STU0003,63,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly abstract data types and encapsulation to localise and minimise change, code sharing and reuse through object-oriented techniques to reduce development time, and object-oriented design and implementation of computer programs for real-life problems. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO2: abstract data types and encapsulation to localise and minimise change; SILO3: code sharing and reuse through object-oriented techniques to reduce development time; SILO4: object-oriented design and implementation of computer programs for real-life problems,0.2,12.600000000000001
CSE1OOF,CSE1OOF - Assignment,STU0003,65,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly abstract data types and encapsulation to localise and minimise change, code sharing and reuse through object-oriented techniques to reduce development time, and object-oriented design and implementation of computer programs for real-life problems. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.",SILO2: abstract data types and encapsulation to localise and minimise change; SILO3: code sharing and reuse through object-oriented techniques to reduce development time; SILO4: object-oriented design and implementation of computer programs for real-life problems,0.25,16.25
CSE1OOF,CSE1OOF - Central examination,STU0003,62,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly abstract data types and encapsulation to localise and minimise change, object-oriented design and implementation of computer programs for real-life problems, code sharing and reuse through object-oriented techniques to reduce development time, and analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO2: abstract data types and encapsulation to localise and minimise change; SILO4: object-oriented design and implementation of computer programs for real-life problems; SILO3: code sharing and reuse through object-oriented techniques to reduce development time; SILO1: analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour,0.4,24.8
CSE2ALG,CSE2ALG - Test,STU0003,66,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly overall objectives of Algorithms and Data Structures, identifying data structures and searching and sorting algorithms in computing contexts, and implementing data structures and searching and sorting algorithms in Java. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.",SILO1: overall objectives of Algorithms and Data Structures; SILO2: identifying data structures and searching and sorting algorithms in computing contexts; SILO3: implementing data structures and searching and sorting algorithms in Java,0.2,13.200000000000001
CSE2ALG,CSE2ALG - Assignment,STU0003,63,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly identifying data structures and searching and sorting algorithms in computing contexts, implementing data structures and searching and sorting algorithms in Java, comparing algorithms and data structures and applying suitable choices to problems, and designing, implementing, and evaluating Java solutions using appropriate performance measures. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.","SILO2: identifying data structures and searching and sorting algorithms in computing contexts; SILO3: implementing data structures and searching and sorting algorithms in Java; SILO4: comparing algorithms and data structures and applying suitable choices to problems; SILO5: designing, implementing, and evaluating Java solutions using appropriate performance measures",0.3,18.9
CSE2ALG,CSE2ALG - Central examination,STU0003,64,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly overall objectives of Algorithms and Data Structures, identifying data structures and searching and sorting algorithms in computing contexts, implementing data structures and searching and sorting algorithms in Java, and designing, implementing, and evaluating Java solutions using appropriate performance measures. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.","SILO1: overall objectives of Algorithms and Data Structures; SILO2: identifying data structures and searching and sorting algorithms in computing contexts; SILO3: implementing data structures and searching and sorting algorithms in Java; SILO5: designing, implementing, and evaluating Java solutions using appropriate performance measures",0.5,32.0
CSE3CAP,CSE3CAP - Oral presentation: Project Milestone Presentation,STU0003,65,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly reporting project outcomes to technical and non-technical audiences and reflecting on feedback. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.",SILO3: reporting project outcomes to technical and non-technical audiences and reflecting on feedback,0.1,6.5
CSE3CAP,CSE3CAP - Oral presentation: Final Project Presentation,STU0003,67,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly reporting project outcomes to technical and non-technical audiences and reflecting on feedback. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.",SILO3: reporting project outcomes to technical and non-technical audiences and reflecting on feedback,0.2,13.4
CSE3CAP,CSE3CAP - Assignment: Final written Project Report,STU0003,64,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly industry standard technical solutions in software or cybersecurity practice and professional system documentation and advanced technical reporting to industry standards. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO2: industry standard technical solutions in software or cybersecurity practice; SILO4: professional system documentation and advanced technical reporting to industry standards,0.35,22.4
CSE3CAP,CSE3CAP - Assignment: Sprint Project management reports,STU0003,66,"This sound result shows a competent and generally reliable grasp of the relevant learning themes, particularly advanced project management during substantive development implementation and industry standard technical solutions in software or cybersecurity practice. To strengthen the result, the student should provide clearer reasoning, improve technical precision and show more complete testing or reflection.",SILO1: advanced project management during substantive development implementation; SILO2: industry standard technical solutions in software or cybersecurity practice,0.35,23.099999999999998
CSE1OOF,CSE1OOF - Test,STU0004,50,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour and abstract data types and encapsulation to localise and minimise change. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO1: analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour; SILO2: abstract data types and encapsulation to localise and minimise change,0.15,7.5
CSE1OOF,CSE1OOF - Practical demonstration,STU0004,51,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly abstract data types and encapsulation to localise and minimise change, code sharing and reuse through object-oriented techniques to reduce development time, and object-oriented design and implementation of computer programs for real-life problems. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO2: abstract data types and encapsulation to localise and minimise change; SILO3: code sharing and reuse through object-oriented techniques to reduce development time; SILO4: object-oriented design and implementation of computer programs for real-life problems,0.2,10.200000000000001
CSE1OOF,CSE1OOF - Assignment,STU0004,50,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly abstract data types and encapsulation to localise and minimise change, code sharing and reuse through object-oriented techniques to reduce development time, and object-oriented design and implementation of computer programs for real-life problems. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO2: abstract data types and encapsulation to localise and minimise change; SILO3: code sharing and reuse through object-oriented techniques to reduce development time; SILO4: object-oriented design and implementation of computer programs for real-life problems,0.25,12.5
CSE1OOF,CSE1OOF - Central examination,STU0004,56,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly abstract data types and encapsulation to localise and minimise change, object-oriented design and implementation of computer programs for real-life problems, code sharing and reuse through object-oriented techniques to reduce development time, and analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO2: abstract data types and encapsulation to localise and minimise change; SILO4: object-oriented design and implementation of computer programs for real-life problems; SILO3: code sharing and reuse through object-oriented techniques to reduce development time; SILO1: analysis/design/implementation compared with object-oriented modelling using objects that combine data structure and behaviour,0.4,22.400000000000002
CSE2ALG,CSE2ALG - Test,STU0004,49,"This limited result shows gaps that require targeted revision of the relevant learning themes, particularly overall objectives of Algorithms and Data Structures, identifying data structures and searching and sorting algorithms in computing contexts, and implementing data structures and searching and sorting algorithms in Java. The student should revisit the core concepts, seek feedback early and practise applying the techniques in smaller, well-tested examples before attempting the full assessment task.",SILO1: overall objectives of Algorithms and Data Structures; SILO2: identifying data structures and searching and sorting algorithms in computing contexts; SILO3: implementing data structures and searching and sorting algorithms in Java,0.2,9.8
CSE2ALG,CSE2ALG - Assignment,STU0004,49,"This limited result shows gaps that require targeted revision of the relevant learning themes, particularly identifying data structures and searching and sorting algorithms in computing contexts, implementing data structures and searching and sorting algorithms in Java, comparing algorithms and data structures and applying suitable choices to problems, and designing, implementing, and evaluating Java solutions using appropriate performance measures. The student should revisit the core concepts, seek feedback early and practise applying the techniques in smaller, well-tested examples before attempting the full assessment task.","SILO2: identifying data structures and searching and sorting algorithms in computing contexts; SILO3: implementing data structures and searching and sorting algorithms in Java; SILO4: comparing algorithms and data structures and applying suitable choices to problems; SILO5: designing, implementing, and evaluating Java solutions using appropriate performance measures",0.3,14.7
CSE2ALG,CSE2ALG - Central examination,STU0004,47,"This limited result shows gaps that require targeted revision of the relevant learning themes, particularly overall objectives of Algorithms and Data Structures, identifying data structures and searching and sorting algorithms in computing contexts, implementing data structures and searching and sorting algorithms in Java, and designing, implementing, and evaluating Java solutions using appropriate performance measures. The student should revisit the core concepts, seek feedback early and practise applying the techniques in smaller, well-tested examples before attempting the full assessment task.","SILO1: overall objectives of Algorithms and Data Structures; SILO2: identifying data structures and searching and sorting algorithms in computing contexts; SILO3: implementing data structures and searching and sorting algorithms in Java; SILO5: designing, implementing, and evaluating Java solutions using appropriate performance measures",0.5,23.5
CSE3CAP,CSE3CAP - Oral presentation: Project Milestone Presentation,STU0004,54,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly reporting project outcomes to technical and non-technical audiences and reflecting on feedback. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO3: reporting project outcomes to technical and non-technical audiences and reflecting on feedback,0.1,5.4
CSE3CAP,CSE3CAP - Oral presentation: Final Project Presentation,STU0004,50,"This developing result meets the core requirements but needs greater consistency of the relevant learning themes, particularly reporting project outcomes to technical and non-technical audiences and reflecting on feedback. Future work should focus on consolidating the underlying concepts, applying them more consistently and explaining design or implementation decisions with stronger evidence.",SILO3: reporting project outcomes to technical and non-technical audiences and reflecting on feedback,0.2,10.0
