subject_code,silo_code,title,passage_text,source_url,provenance

CSE1OOF,SILO1,Oracle Java Tutorials - Object-Oriented Programming Concepts,"Oracle's own introduction to the ideas behind object-oriented programming: what an object is, how a class describes a family of objects, and how inheritance, interfaces and packages fit together. Read it first when the gap is about seeing a problem as objects that bundle data with the behaviour that acts on it, rather than as separate procedures and variables.",https://docs.oracle.com/javase/tutorial/java/concepts/index.html,curated
CSE1OOF,SILO1,Oracle Java Tutorials - Classes and Objects,"The reference lesson for turning a design into code: declaring classes, fields, constructors and methods, creating objects, and using nested classes and enums. Work through it alongside your own assignment code and compare how each of your classes combines its data and its behaviour.",https://docs.oracle.com/javase/tutorial/java/javaOO/index.html,curated
CSE1OOF,SILO2,Oracle Java Tutorials - Controlling Access to Members of a Class,"Explains Java's access levels (private, package-private, protected, public) and how they let a class hide its internal representation behind a small public interface. This is the mechanism behind encapsulation: change the private fields and only that class needs to change.",https://docs.oracle.com/javase/tutorial/java/javaOO/accesscontrol.html,curated
CSE1OOF,SILO2,Refactoring Guru - Encapsulate Field,"A short worked refactoring that takes a public field and replaces it with private data plus accessor methods, with before-and-after code. Useful as a concrete drill: find a public field in your own code, encapsulate it, and note which other classes did or did not need to change.",https://refactoring.guru/encapsulate-field,curated
CSE1OOF,SILO3,Oracle Java Tutorials - Interfaces and Inheritance,"Covers the two main ways Java shares code between classes: inheritance from a superclass and implementing interfaces, including overriding, hiding, abstract classes and polymorphism. Read it when the gap is about reusing behaviour instead of copying it.",https://docs.oracle.com/javase/tutorial/java/IandI/index.html,curated
CSE1OOF,SILO3,Refactoring Guru - Design Patterns catalogue,"A catalogue of the classic creational, structural and behavioural design patterns, each with the problem it solves, a diagram and code examples in several languages. Start with Strategy, Template Method and Factory Method, which are the patterns most often used to reduce duplicated code in coursework-sized programs.",https://refactoring.guru/design-patterns,curated
CSE1OOF,SILO4,MIT OpenCourseWare 6.005 - Software Construction,"MIT's free undergraduate course on writing correct, understandable, ready-for-change software, with readings on specifications, abstract data types, designing classes and testing. Use the readings on ADTs and specifications when you are designing a program for a realistic problem rather than a toy exercise.",https://ocw.mit.edu/courses/6-005-software-construction-spring-2016/,curated
CSE1OOF,SILO4,Refactoring Guru - Refactoring and code smells,"Explains what refactoring is, the common code smells that signal a design problem, and the step-by-step techniques for fixing each one. Good for the second pass on a working program: when it runs but the marker's feedback says the design is hard to follow or extend.",https://refactoring.guru/refactoring,curated
CSE2ALG,SILO1,MIT OpenCourseWare 6.006 - Introduction to Algorithms,"MIT's free introductory algorithms course: lecture videos, notes and problem sets covering the core data structures, sorting, searching, hashing and graph algorithms, and why efficiency matters. Watch the first two lectures for the big picture of what the subject is trying to achieve before drilling into specific structures.",https://ocw.mit.edu/courses/6-006-introduction-to-algorithms-spring-2020/,curated
