subject_code,silo_code,title,passage_text
DEMO101,SILO1,Core Concepts Overview,"The demo domain rests on three core concepts: definition, scope, and correct terminology. A strong explanation names each concept precisely, uses the agreed terminology rather than informal paraphrase, and states how the concepts relate to one another rather than listing them in isolation."
DEMO101,SILO1,Terminology Cheat Sheet,"Common terminology slips include swapping 'concept' for 'idea' where precision matters, and describing a definition without stating its scope. When explaining a concept, always pair the definition with the boundary of what it does and does not cover."
DEMO101,SILO2,Worked Technique Walkthrough,"Applying the demo technique has four steps. Step 1: identify the sample problem's inputs. Step 2: select the matching technique variant for those inputs - this is the step most students get wrong, usually by picking the variant that matches the output instead of the input. Step 3: apply the technique and record intermediate results. Step 4: check the result against the expected shape of the answer."
DEMO101,SILO2,Technique Application Checklist,"Before submitting an applied-technique answer, check: did you name which variant of the technique you used, did you show step 2's variant-selection reasoning explicitly, and does your final answer match the input's units and scale."
DEMO101,SILO3,Trade-off Evaluation Framework,"A critical evaluation names at least one trade-off explicitly: what does the proposed solution gain, and what does it give up to gain it. A discussion that only lists strengths, or only lists weaknesses, has not evaluated a trade-off - it has to compare both sides of the same decision."
DEMO101,SILO3,Worked Trade-off Example,"Example: a faster technique variant trades accuracy for speed. A thoughtful evaluation states this directly - 'this variant is faster because it approximates step 2, at the cost of some accuracy' - rather than praising the speed alone without naming what was given up for it."
DEMO102,SILO1,Advanced Concepts Overview,"Advanced demo methods build on the core concepts by adding context-sensitivity: the same method can behave differently depending on the scale of the problem. A strong explanation states which regime the method is operating in before describing its behaviour, rather than describing the method in the abstract."
DEMO102,SILO1,Advanced Terminology Notes,"At the advanced level, precision matters more: 'method' and 'technique' are not interchangeable, and neither is 'regime' and 'scenario'. State the regime explicitly before naming the method that applies to it."
DEMO102,SILO2,Advanced Technique Walkthrough,"Applying an advanced demo technique to a complex problem has five steps: decompose the problem into sub-problems, select a technique variant per sub-problem, apply each variant, recombine the intermediate results, and validate the recombined answer against the original problem's constraints. Most errors happen at the recombination step, where students forget to re-check the combined answer against the original constraints."
DEMO102,SILO2,Advanced Application Checklist,"Before submitting an advanced applied-technique answer, check: did you decompose the problem explicitly, did you name a variant for each sub-problem, and did you re-validate the recombined answer against every original constraint, not just the first one."
DEMO102,SILO3,Advanced Trade-off Framework,"An advanced critical evaluation compares trade-offs across the whole solution, not just one step: what is gained and given up at each stage, and whether those trade-offs compound or cancel out across the full pipeline. Evaluating only the final step misses trade-offs made earlier that shaped what the final step could achieve."
DEMO102,SILO3,Advanced Trade-off Example,"Example: decomposing a problem into more sub-problems increases accuracy per sub-problem but increases recombination risk. A thoughtful evaluation names both effects and states which one dominates for the given problem size, rather than evaluating only the accuracy gain."
